Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
resource_daily_uptime_26,0,31w_2064kb,0.929,0.434,0.581,0.565,0.522,0.615,0.734,0.534,0.963,0.788,0.627,0.445,0.615,0.579,0.808,0.503,0.439,0.687,0.44,0.712,0.58,0.468,0.609,0.679,0.655,0.718,0.536,0.525,0.645,0.578
resource_daily_uptime_26,1,31w_2064kb,351.593,323.493,339.953,342.992,334.966,340.731,363.342,364.237,382.87,349.785,352.378,346.826,342.309,357.493,332.781,363.045,366.756,345.574,359.295,343.388,339.198,369.276,380.75,360.252,335.79,355.07,347.532,340.979,351.083,362.603
resource_daily_uptime_27,0,10w_6400kb,0.716,0.568,0.513,0.696,0.469,0.511,0.637,0.796,0.537,0.598,0.64,0.523,0.655,0.613,0.516,0.728,0.512,0.714,0.658,0.858,0.613,0.541,0.536,0.817,0.505,0.458,0.568,0.5,0.559,0.512
resource_daily_uptime_27,1,10w_6400kb,353.149,323.541,333.383,355.797,346.795,337.371,364.621,379.253,352.648,337.892,366.076,357.848,361.082,352.41,337.594,363.796,330.808,358.547,344.94,369.364,354.655,345.715,343.178,342.967,334.129,338.437,386.545,346.43,331.124,338.728
resource_daily_uptime_28,0,6w_10666kb,0.678,0.564,0.535,0.666,0.577,0.569,0.45,0.709,0.716,0.572,0.732,0.594,0.526,0.57,0.462,0.551,0.597,0.527,0.521,0.523,0.443,0.605,0.52,0.52,0.95,0.722,0.553,0.606,0.566,0.622
resource_daily_uptime_28,1,6w_10666kb,380.408,387.148,361.801,365.729,340.58,328.826,337.75,374.622,422.625,356.767,341.617,340.671,335.525,347.756,383.154,342.667,418.216,354.143,356.375,359.058,356.935,334.337,341.098,343.402,341.789,336.772,408.918,356.351,343.539,408.918
resource_daily_uptime_29,0,9w_7111kb,0.792,0.526,0.424,0.545,0.453,0.538,0.51,0.448,0.596,0.523,0.529,0.533,0.578,0.511,0.541,0.546,0.714,0.772,0.655,0.582,0.547,0.522,0.676,0.646,0.546,0.733,0.708,0.54,0.511,0.505
resource_daily_uptime_29,1,9w_7111kb,337.881,336.991,329.303,353.445,322.404,337.592,332.418,357.111,346.282,325.671,334.501,346.611,354.847,342.404,337.453,376.421,343.51,333.488,361.014,336.236,324.241,331.323,341.265,362.043,340.881,367.032,363.724,339.376,344.885,331.477
resource_daily_uptime_30,0,13w_4923kb,0.917,0.593,0.609,0.606,0.812,0.584,0.6,0.768,0.591,0.536,0.608,0.545,0.567,0.524,0.604,0.553,0.615,0.527,0.618,0.653,0.555,0.58,0.588,0.556,0.577,0.626,0.581,0.68,0.648,1.106
resource_daily_uptime_30,1,13w_4923kb,361.62,355.002,329.436,356.184,356.947,368.998,331.323,358.611,346.812,342.562,340.772,339.034,335.243,345.093,346.401,337.868,330.091,335.03,345.493,341.252,379.304,354.498,334.436,330.964,379.139,344.266,359.895,356.063,354.468,362.383
resource_daily_uptime_31,0,15w_4266kb,0.808,0.596,0.641,0.734,0.639,0.53,0.699,0.706,0.601,0.58,0.553,0.51,0.581,0.555,0.446,0.456,0.685,0.529,0.568,0.536,0.617,0.611,0.625,0.554,0.497,0.635,0.742,0.666,0.716,0.672
resource_daily_uptime_31,1,15w_4266kb,355.358,329.132,336.309,339.949,369.932,338.191,328.59,397.197,339.735,330.666,383.293,353.658,363.573,349.994,336.37,348.066,350.345,334.368,371.314,370.927,370.624,371.556,394.309,364.864,416.574,379.57,370.868,375.69,375.568,374.89
