Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
global_uptime_15,0,1w_64000kb,0.683,0.684,0.496,0.532,0.496,0.562,0.478,0.508,0.572,0.489,0.602,0.642,0.468,0.521,0.532,0.6,0.52,0.527,0.544,0.478,0.638,0.495,0.686,0.498,0.542,0.497,0.493,0.496,0.592,0.633
global_uptime_15,1,1w_64000kb,4303.819,4520.287,4456.92,4481.334,4389.233,4369.965,4282.69,4289.709,4432.993,4464.468,4500.885,4377.325,4378.423,4369.997,4477.746,4448.996,4267.474,4301.321,4437.013,4495.634,4386.096,4341.856,4440.631,4324.167,4315.173,4439.485,4340.083,4234.061,4411.845,4339.542
global_uptime_16,0,27w_2370kb,0.723,0.487,0.544,0.548,0.842,0.538,0.582,0.865,0.532,0.739,0.507,0.666,0.973,0.493,0.696,0.505,0.507,0.529,0.524,0.656,0.523,0.63,0.553,0.408,0.784,0.75,0.686,0.729,0.527,0.579
global_uptime_16,1,27w_2370kb,3197.039,3220.263,3316.642,3254.821,3223.765,3301.439,3313.376,3357.954,3296.119,3292.401,3290.44,3281.811,3221.095,3234.503,3217.39,3332.645,3295.859,3185.72,3206.391,3250.434,3214.407,3222.505,3198.674,3284.365,3360.471,3253.88,3285.193,3250.465,3294.904,3196.438
global_uptime_17,0,21w_3047kb,0.68,0.777,0.593,0.551,0.682,0.482,0.515,0.522,0.502,0.594,0.497,0.547,0.494,0.535,0.592,0.764,0.556,0.555,0.505,0.488,0.548,0.524,0.645,0.587,0.494,0.499,0.547,0.521,0.44,0.489
global_uptime_17,1,21w_3047kb,3353.699,3362.415,3218.836,3457.899,3289.055,3274.598,3342.377,3241.364,3293.284,3351.276,3261.292,3233.469,3269.427,3350.972,3305.527,3242.837,3289.599,3181.434,3147.979,3261.184,3244.092,3282.298,3343.387,3298.077,3234.562,3219.165,3272.389,3295.242,3387.99,3220.544
global_uptime_18,0,17w_3764kb,0.722,0.636,0.58,0.489,0.514,0.568,0.459,0.768,0.752,0.574,0.552,0.768,0.68,0.414,0.427,0.488,0.573,0.651,0.579,0.547,0.47,0.716,0.551,0.637,0.706,0.95,0.733,0.438,0.804,0.513
global_uptime_18,1,17w_3764kb,3381.323,3249.627,3392.202,3333.138,3354.905,3299.537,3271.435,3318.627,3270.746,3277.743,3302.211,3306.324,3220.068,3188.542,3281.012,3291.836,3340.886,3303.437,3286.489,3337.979,3342.265,3392.397,3199.925,3338.811,3420.569,3340.452,3418.283,3395.924,3332.201,3400.442
global_uptime_19,0,32w_2000kb,0.669,0.984,0.585,0.573,0.641,0.522,0.547,0.463,0.576,0.606,0.545,0.504,0.836,0.488,0.674,0.784,0.487,0.733,0.549,0.626,0.517,0.725,0.647,0.555,0.574,0.609,0.54,0.484,0.51,0.779
global_uptime_19,1,32w_2000kb,3141.922,3270.297,3285.589,3334.135,3237.925,3231.465,3174.033,3193.781,3213.314,3240.08,3229.36,3177.565,3174.618,3176.044,3265.308,3231.003,3182.692,3269.716,3230.719,3303.77,3191.066,3242.98,3221.526,3269.344,3206.737,3237.042,3244.329,3218.602,3240.726,3298.168
global_uptime_20,0,18w_3555kb,0.75,0.517,0.87,0.774,0.501,0.476,0.51,0.594,0.508,0.562,0.693,0.577,0.521,0.551,0.549,0.746,0.848,0.544,0.55,0.739,0.505,0.566,0.559,0.554,0.809,0.639,0.492,0.425,0.82,0.517
global_uptime_20,1,18w_3555kb,3258.024,3329.959,3516.665,3363.899,3206.307,3401.115,3320.866,3266.494,3205.01,3172.039,3272.471,3261.485,3151.613,3306.552,3357.045,3302.23,3308.68,3257.015,3311.514,3306.581,3315.165,3346.26,3372.136,3376.446,3295.689,3239.086,3338.286,3311.837,3412.233,3389.967
global_uptime_21,0,29w_2206kb,0.95,0.51,0.522,0.488,0.751,0.518,0.724,0.54,0.508,0.555,0.769,0.537,0.52,0.534,0.701,0.497,0.593,0.912,0.753,0.536,0.528,0.629,0.511,0.57,0.751,0.42,0.51,0.418,0.497,0.532
global_uptime_21,1,29w_2206kb,3183.594,3294.107,3129.494,3184.898,3211.496,3155.661,3116.857,3149.927,3215.745,3235.899,3177.66,3212.881,3215.537,3214.942,3198.951,3240.331,3284.155,3238.93,3319.566,3108.347,3152.081,3206.854,3244.426,3240.373,3189.876,3138.251,3173.976,3277.194,3215.302,3263.188
global_uptime_22,0,28w_2285kb,0.843,0.527,0.495,0.599,0.496,0.771,0.69,0.774,0.543,0.503,0.629,0.72,0.714,0.547,0.52,0.477,0.515,0.541,0.49,0.513,0.575,0.701,0.553,0.614,0.515,0.501,0.563,0.505,0.485,0.677
global_uptime_22,1,28w_2285kb,3189.479,3293.621,3233.03,3268.498,3332.798,3201.944,3208.226,3275.96,3281.958,3124.483,3184.501,3241.427,3313.505,3214.673,3206.925,3162.584,3115.317,3180.196,3191.826,3406.456,3218.894,3283.692,3211.506,3293.95,3257.904,3201.472,3274.469,3199.453,3130.318,3220.658
global_uptime_23,0,7w_9142kb,0.731,0.559,0.729,0.727,0.505,0.538,0.692,0.566,0.504,0.528,0.927,0.788,0.725,0.56,0.627,0.492,0.531,0.488,0.731,0.493,0.591,0.683,0.498,0.519,0.686,0.539,0.719,0.963,0.747,0.559
