Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
resource_uptime_16,0,27w_2370kb,0.957,0.538,0.642,0.557,0.526,0.586,0.612,0.729,0.543,0.458,0.482,0.784,0.519,0.476,0.797,0.525,0.449,0.63,0.643,0.581,0.568,0.728,0.586,0.767,0.638,0.715,0.47,0.528,0.781,0.632
resource_uptime_16,1,27w_2370kb,67.602,55.251,55.486,56.749,68.507,58.871,57.375,59.539,66.892,67.91,54.589,54.988,59.629,58.992,57.696,63.075,58.979,54.404,69.551,64.074,58.814,61.822,72.358,60.397,64.476,61.988,58.908,62.292,61.14,60.14
resource_uptime_17,0,21w_3047kb,0.69,0.667,0.838,0.587,0.859,0.57,0.518,0.734,0.576,1.089,0.645,0.667,0.555,0.647,0.848,0.559,0.548,0.681,0.559,0.91,0.639,0.61,0.954,0.672,0.731,0.545,0.555,0.856,0.554,0.576
resource_uptime_17,1,21w_3047kb,62.865,56.534,55.464,54.718,59.777,56.199,55.279,59.982,52.093,69.602,56.099,60.86,57.406,56.081,61.413,57.756,57.518,55.302,59.553,61.454,59.217,54.163,57.31,55.045,54.982,61.212,54.395,55.679,58.035,55.549
resource_uptime_18,0,17w_3764kb,0.841,0.598,0.703,0.562,0.612,0.61,0.554,0.55,0.638,0.534,0.631,0.634,0.586,0.617,0.528,0.551,0.526,0.685,0.608,0.478,0.562,0.615,0.622,0.7,0.596,0.52,0.569,0.525,0.526,0.771
resource_uptime_18,1,17w_3764kb,62.09,57.073,60.343,56.711,57.52,62.652,57.528,54.239,59.646,55.638,58.095,58.616,58.204,54.672,53.466,54.321,55.926,55.445,60.488,71.019,60.78,57.947,59.297,58.505,61.163,59.907,55.934,63.44,55.324,56.111
resource_uptime_19,0,32w_2000kb,0.8,0.511,0.554,0.563,0.521,0.512,0.527,0.537,0.92,0.522,0.598,0.613,0.523,0.52,0.607,0.559,0.514,0.57,0.552,0.511,0.585,0.764,0.507,0.53,0.645,0.549,0.606,0.522,0.973,0.539
resource_uptime_19,1,32w_2000kb,63.887,54.668,52.819,54.022,53.128,57.59,54.85,52.883,54.414,53.752,64.725,64.057,66.023,54.21,53.221,52.714,53.142,52.782,53.682,52.984,53.695,53.58,59.972,55.122,58.238,56.206,57.419,55.637,64.719,60.376
resource_uptime_20,0,18w_3555kb,0.749,0.485,0.518,0.616,0.643,0.457,0.692,0.599,0.563,0.743,0.662,0.548,0.606,0.662,0.525,0.455,0.529,0.656,0.559,0.686,0.568,0.636,0.545,0.76,0.56,0.912,0.809,0.449,0.769,0.575
resource_uptime_20,1,18w_3555kb,63.237,65.46,61.621,56.874,61.358,71.477,66.572,60.669,60.67,60.54,56.608,62.567,61.022,57.477,65.861,55.515,59.406,54.714,58.103,59.561,60.022,61.976,61.579,59.326,57.198,57.424,59.926,56.287,59.294,57.087
resource_uptime_21,0,29w_2206kb,0.747,0.73,0.516,0.453,0.814,0.739,0.683,0.568,0.594,0.596,0.729,0.587,0.748,0.548,0.587,0.571,0.743,0.57,0.619,0.554,0.682,0.716,0.599,0.637,0.826,0.559,0.513,0.604,0.88,0.686
resource_uptime_21,1,29w_2206kb,63.072,59.244,56.074,55.457,64.014,70.031,62.646,58.941,60.918,60.524,63.947,59.778,55.302,57.152,56.702,56.277,61.544,60.555,56.494,58.631,63.877,64.78,58.825,58.655,66.026,56.179,55.483,56.858,59.587,58.478
