Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
group_resource_daily_uptime_5,1,2w_32000kb,13373.087,13159.997,13059.547,13122.022,13284.64,13100.981,13405.298,13198.339,13082.537,13349.248,13238.716,13257.408,13145.924,13056.52,12940.182,13093.814,13015.9,12976.819,13037.824,13209.83,13387.658,13132.904,13186.663,13322.389,13015.144,13368.878,13133.1,12873.883,13033.294,13375.615
group_resource_daily_uptime_6,0,3w_21333kb,1.291,0.971,1.017,0.992,0.924,0.871,1.12,1.32,0.823,1.261,0.962,0.911,0.885,0.855,1.115,1.028,1.076,0.85,0.87,0.882,1.227,0.955,1.096,1.023,1.894,0.891,0.878,1.038,0.928,1.163
group_resource_daily_uptime_6,1,3w_21333kb,16726.203,16493.024,16388.304,16481.384,16912.068,16547.747,16676.418,16570.502,16605.96,16531.051,16581.494,16825.617,16445.733,16391.418,16653.879,16748.956,16540.696,16731.58,16601.755,16638.611,16596.621,16845.062,16353.359,16420.828,16600.241,16581.858,16950.346,16751.849,16460.55,16718.73
group_resource_daily_uptime_7,0,12w_5333kb,1.13,1.172,1.278,1.005,0.892,0.752,0.975,0.801,0.854,0.767,1.219,0.843,1.141,1.305,0.981,0.95,0.907,0.927,1.154,0.901,1.619,0.896,1.093,0.998,1.169,0.839,0.922,1.088,1.245,0.865
group_resource_daily_uptime_7,1,12w_5333kb,10153.632,10037.006,10351.298,10152.608,10086.968,10027.56,10174.756,9866.991,10088.351,10008.534,10270.861,10166.192,10429.057,10372.6,10190.726,10281.288,10121.503,10179.328,10147.21,10036.534,10165.029,10171.664,10105.57,10267.924,10089.979,10288.037,9974.085,10211.46,10218.09,10190.659
group_resource_daily_uptime_8,0,25w_2560kb,1.176,0.874,1.001,0.923,0.898,1.006,0.878,0.914,0.992,0.961,0.874,0.942,1.064,1.507,0.883,1.137,1.459,0.989,0.939,0.873,0.894,0.878,0.721,0.937,0.961,1.165,1.393,0.955,0.93,1.132
group_resource_daily_uptime_8,1,25w_2560kb,10876.583,10807.113,10953.097,10975.727,10980.331,10791.565,10692.458,10797.256,10691.886,10869.6,11006.136,10888.689,10878.249,10955.033,10792.867,10944.138,10993.528,10684.976,10838.446,10822.225,10826.27,10996.801,10803.126,10789.069,10769.355,11037.081,11231.504,10807.352,11010.946,10761.949
group_resource_daily_uptime_9,0,14w_4571b,1.881,1.29,0.841,0.738,1.005,0.857,0.898,1.302,0.965,1.113,0.955,0.983,0.868,0.895,1.035,0.84,0.894,0.892,0.899,1.106,0.946,0.925,1.057,0.977,1.047,0.963,1.025,1.218,0.906,1.015
group_resource_daily_uptime_9,1,14w_4571b,10064.832,10023.074,9904.007,9853.606,10084.633,10046.301,10025.846,9991.636,10008.514,9895.063,10128.606,10151.022,10230.068,10173.911,10246.661,10081.633,10043.652,10031.019,9968.919,10021.649,10035.067,9945.103,10187.337,9969.794,10052.485,10067.626,10141.482,10069.534,9929.04,9953.114
group_resource_daily_uptime_10,0,24w_2666kb,1.276,0.896,1.059,0.952,1.003,1.104,0.924,1.303,0.948,0.89,1.17,0.968,1.009,0.864,0.997,1.13,1.515,0.877,0.987,0.903,0.927,0.898,1.03,1.08,0.902,0.846,1.126,1.215,1.02,0.929
group_resource_daily_uptime_10,1,24w_2666kb,10732.338,10915.769,10817.579,10518.771,10647.71,10859.018,10746.15,10722.855,10915.123,10630.403,10709.213,10812.324,10558.143,10745.648,10665.907,10788.827,10708.127,10901.117,10655.075,10552.518,10704.003,10532.566,10569.81,10700.211,10682.606,10713.545,10708.538,10759.161,10733.517,10881.405
group_resource_daily_uptime_11,0,4w_16000kb,1.13,0.948,0.89,0.863,1.835,0.871,1.15,1.124,0.885,1.187,0.927,0.932,0.836,1.12,0.93,1.017,0.859,0.842,0.831,1.019,0.844,0.837,0.876,0.857,0.961,1.162,0.848,1.113,1.082,0.83
group_resource_daily_uptime_11,1,4w_16000kb,11301.702,11192.677,10982.984,11173.111,11228.1,11315.467,11274.742,11065.912,11166.762,11097.44,11148.343,10893.208,11070.565,11172.962,11139.166,11246.916,11090.908,11299.462,11049.594,11203.417,11016.146,11325.056,10963.922,11299.777,11153.975,11448.66,11262.767,11188.616,11261.196,11144.604
group_resource_daily_uptime_12,0,8w_8000kb,1.384,0.687,1.276,1.108,0.822,1.009,0.825,0.914,1.745,0.902,1.18,0.979,0.821,0.887,0.96,0.864,0.93,1.089,0.859,1.02,1.512,1.198,0.89,1.43,0.86,1.092,1.017,1.255,1.265,1.118
group_resource_daily_uptime_12,1,8w_8000kb,10114.567,10140.649,10013.939,9965.251,10138.621,10098.468,9925.791,10150.728,9907.641,10051.964,10003.095,9892.466,9866.383,10065.972,10016.943,9939.388,10120.633,10113.581,9974.039,9888.323,9940.93,9914.873,10002.995,9904.905,10026.362,10003.302,10240.077,9884.028,10097.101,9995.859
group_resource_daily_uptime_13,0,11w_5818kb,1.863,1.001,0.831,0.992,1.003,1.08,1.238,0.958,0.801,0.914,0.908,1.002,0.931,0.918,1.121,1.004,0.922,0.875,0.98,1.395,0.856,0.852,1.032,0.896,1.092,0.96,1.027,0.878,0.845,1.003
group_resource_daily_uptime_13,1,11w_5818kb,10534.888,10335.394,10318.715,10635.049,10367.628,10279.737,10267.865,10148.978,10226.152,10574.567,10378.59,10257.466,10154.774,10214.44,10148.441,10438.727,10210.306,10479.965,10250.582,10161.216,10228.082,10234.953,10174.426,10015.726,10212.141,9993.063,10317.814,10073.438,10207.532,10404.16
group_resource_daily_uptime_14,0,30w_2133kb,1.186,0.941,0.934,1.054,0.977,0.895,1.215,0.962,0.884,1.114,0.92,0.929,0.749,0.978,1.09,1.112,0.908,1.03,0.713,0.94,0.977,1.005,1.121,0.935,1.103,0.995,0.97,1.224,0.841,0.959
group_resource_daily_uptime_14,1,30w_2133kb,10723.356,11015.814,10830.004,10658.762,10943.141,10910.905,10954.368,10794.138,10935.828,10653.688,10863.224,10852.01,10894.507,10695.858,10928.428,10885.835,10800.912,10901.557,10843.311,10610.727,10721.136,10727.402,10994.242,11081.945,10871.215,11091.343,10948.573,10728.322,10826.412,10628.748
group_resource_daily_uptime_15,0,1w_64000kb,1.296,1.43,1.321,0.828,0.842,1.219,0.703,0.908,0.805,1.028,0.932,0.857,0.874,1.08,0.872,1.298,1.034,0.839,0.942,0.826,1.07,0.832,0.943,0.861,0.864,0.92,0.715,1.001,0.829,0.91
group_resource_daily_uptime_15,1,1w_64000kb,12254.237,12429.839,12087.528,12035.68,11976.429,12127.019,12335.968,12050.814,12040.952,12200.939,12125.573,12384.884,12103.086,12283.858,11967.313,11977.561,12106.612,12160.795,11986.581,11925.531,12109.553,12024.885,12156.106,12439.079,12210.373,11799.294,12166.025,11841.145,12143.874,11900.5
group_resource_daily_uptime_16,0,27w_2370kb,1.374,0.831,0.978,0.872,0.935,0.98,0.989,1.377,0.909,0.831,0.734,0.93,1.08,0.905,0.946,1.063,0.831,0.907,1.201,0.904,1.076,1.311,0.919,0.9,1.013,0.911,0.959,1.247,0.975,0.704
group_resource_daily_uptime_16,1,27w_2370kb,10650.404,10704.321,10681.472,10741.425,10695.157,10739.205,10647.734,10794.751,10853.226,10726.084,10793.673,10774.667,10802.422,10752.03,10787.097,10789.826,10588.776,10835.02,10680.068,10739.918,10780.852,10831.65,10769.482,10717.671,10876.694,10674.501,10833.404,10741.388,10658.488,10802.05
group_resource_daily_uptime_17,0,21w_3047kb,1.113,1.144,0.927,0.948,1.031,0.864,1.013,0.943,1.095,1.117,0.916,0.858,0.91,0.972,1.003,1.381,0.867,1.428,0.877,0.911,0.964,0.957,0.969,1.082,0.846,0.888,0.842,0.934,1.115,0.86
group_resource_daily_uptime_17,1,21w_3047kb,10705.136,10872.442,10714.332,10629.3,10680.779,10818.681,10680.692,10674.902,10544.808,10686.932,10793.313,10590.043,10599.532,10706.257,10555.061,10635.087,10668.728,10618.025,10571.407,10495.526,10779.645,10555.623,10521.113,10750.279,10762.633,10670.968,10656.187,10746.111,10556.053,10473.511
group_resource_daily_uptime_18,0,17w_3764kb,1.109,0.931,1.038,0.933,0.775,1.216,0.888,1.25,0.92,1.002,1.019,0.954,0.861,0.851,0.874,0.888,0.872,0.881,0.896,0.963,1.052,1.113,0.964,1.325,0.97,0.924,0.878,0.859,1.148,0.897
group_resource_daily_uptime_18,1,17w_3764kb,9911.977,9952.411,10054.044,9967.26,9927.375,10045.656,10093.79,10022.869,9959.759,10136.218,10310.554,10095.339,10104.74,9889.619,10186.628,10110.448,10374.098,9942.648,10189.644,9873.564,10156.389,10239.204,10004.192,9875.438,10025.77,10200.37,10293.944,10064.858,10245.135,10230.601
group_resource_daily_uptime_19,0,32w_2000kb,1.691,0.895,0.913,0.953,1.053,1.243,0.912,1.123,0.926,1.382,1.422,0.994,1.018,1.448,0.864,1.479,1.075,0.848,0.94,0.851,1.325,1.133,1.067,0.864,1.014,0.89,1.188,0.893,0.921,0.86
group_resource_daily_uptime_19,1,32w_2000kb,10830.533,10820.127,10759.975,10880.666,10796.605,10640.895,10745.188,10785.056,10627.344,10917.073,10661.427,11042.112,10752.643,10774.269,10930.516,10841.696,10702.958,10907.44,10890.154,10744.279,10744.614,10586.3,10634.748,10613.04,10836.689,10795.763,10687.822,10751.054,10731.666,10701.69
group_resource_daily_uptime_20,0,18w_3555kb,1.115,0.887,0.932,1.135,1.014,1.275,0.741,0.801,0.946,0.879,1.27,0.901,1.354,1.021,0.831,0.862,0.865,1.069,0.894,0.96,0.886,1.193,0.98,0.868,1.165,0.858,0.795,0.987,0.903,1.607
group_resource_daily_uptime_20,1,18w_3555kb,10191.0,10024.044,10228.255,10461.258,10056.579,10062.457,10253.471,10101.492,10257.712,10046.908,10169.371,10122.122,10270.208,10198.354,9999.195,10155.805,10217.103,10156.713,10265.446,10209.819,10119.316,10096.438,10269.784,10212.561,10183.232,10000.24,10073.22,10099.605,9787.599,10127.057
group_resource_daily_uptime_21,0,29w_2206kb,1.689,0.868,1.026,0.887,1.047,1.025,0.876,0.906,0.786,0.914,1.183,0.85,1.03,0.944,0.874,0.773,1.098,0.932,0.994,1.005,0.889,1.387,0.974,1.473,0.983,0.92,0.951,1.016,1.171,1.11
group_resource_daily_uptime_21,1,29w_2206kb,10894.127,10723.818,10695.181,10676.833,10767.262,10707.3,10913.341,10786.281,10970.227,10825.29,10820.704,10782.906,10883.41,10953.425,10709.579,10640.231,10939.441,10726.391,10961.251,10615.767,10638.089,10726.886,11026.527,10811.597,10773.114,10900.053,10947.213,11200.917,10866.425,10926.592
group_resource_daily_uptime_22,0,28w_2285kb,1.159,1.329,0.93,0.848,0.978,1.421,0.764,1.349,1.32,0.876,0.955,0.859,0.885,0.957,0.988,0.744,1.391,1.034,0.834,0.755,0.835,0.827,0.855,0.944,1.145,0.961,0.935,1.388,0.954,0.718
group_resource_daily_uptime_22,1,28w_2285kb,10725.262,10703.411,10697.335,10932.905,10778.557,10676.549,10857.65,10733.948,10993.803,11001.954,10879.276,10711.408,10614.229,10681.644,10895.086,10719.738,10783.543,10749.014,10665.265,10960.874,10875.33,10691.672,10814.477,10868.737,10786.309,10740.48,10688.423,10701.909,10613.363,10790.106
group_resource_daily_uptime_23,0,7w_9142kb,1.141,1.006,0.952,1.095,0.73,1.083,0.859,0.869,1.028,0.98,0.857,1.272,1.229,0.902,0.899,0.975,1.048,1.23,0.995,1.287,0.88,1.007,1.387,1.928,1.045,1.383,0.711,1.181,0.949,0.95
group_resource_daily_uptime_23,1,7w_9142kb,10144.046,9961.313,9880.679,9838.706,9924.305,9882.616,9871.05,9840.611,9831.873,9896.531,10032.77,9979.709,9816.549,9932.03,9915.619,9773.553,9784.056,10010.508,9858.655,9908.126,9890.373,9815.88,9976.609,10301.654,9961.792,10024.766,10018.142,9938.787,10142.716,9987.204
group_resource_daily_uptime_24,0,26w_2461kb,1.238,0.893,1.115,1.123,0.837,0.948,0.881,0.853,0.898,0.794,0.86,1.065,1.054,1.49,1.065,0.903,0.916,0.903,0.918,0.808,0.979,0.915,1.027,1.148,1.05,0.88,1.062,1.008,0.982,1.749
group_resource_daily_uptime_24,1,26w_2461kb,10629.24,10719.152,10694.565,10622.035,10633.246,10695.13,10603.436,10843.56,10570.016,10804.493,10795.711,10584.243,10714.809,10605.523,10813.232,10585.704,10745.66,10537.702,10629.501,10889.247,10656.895,10607.743,10572.661,10695.229,10728.034,10582.618,10641.539,10521.302,10769.066,10702.797
group_resource_daily_uptime_25,0,22w_2909kb,1.13,1.055,0.974,0.889,0.965,0.837,0.898,1.21,1.261,0.864,0.864,1.163,0.862,0.895,1.056,0.863,1.302,1.042,0.964,1.276,0.727,0.988,0.892,0.943,1.105,1.469,0.841,0.948,0.946,1.041
group_resource_daily_uptime_25,1,22w_2909kb,10574.036,10825.377,10685.473,10665.96,10495.159,10565.814,10833.811,10691.506,10571.501,10675.453,10589.818,10712.935,10535.097,10859.48,10655.312,10606.335,10675.542,10519.594,10764.027,10663.727,10470.469,10451.818,10653.442,10593.127,10775.087,10592.464,10626.253,10617.608,10692.075,10621.294
group_resource_daily_uptime_26,0,31w_2064kb,1.162,1.294,0.879,0.882,0.893,1.505,0.843,0.997,0.939,0.935,0.951,0.828,0.791,0.967,0.911,1.016,1.352,0.94,0.865,0.915,1.194,0.899,0.981,0.944,0.877,1.268,1.301,0.775,0.982,1.134
group_resource_daily_uptime_26,1,31w_2064kb,10855.116,10793.001,10885.978,10824.608,10983.558,10744.989,10596.196,10793.717,11070.441,10787.38,10839.599,10873.136,10985.452,11087.465,10839.654,10935.843,11092.47,11068.752,10909.636,10813.934,10749.671,10824.755,10951.313,10869.227,10845.863,10997.105,10759.291,10826.407,10837.839,10791.913
group_resource_daily_uptime_27,0,10w_6400kb,1.213,1.063,0.911,0.886,0.909,0.93,0.985,1.438,1.113,1.119,0.923,0.865,1.004,0.941,1.109,1.534,0.898,0.945,0.897,0.952,0.892,0.95,0.856,0.891,1.026,1.088,0.876,1.27,0.961,0.743
group_resource_daily_uptime_27,1,10w_6400kb,10158.718,10052.323,9961.101,10206.237,9917.141,10133.882,10128.06,9970.009,9936.861,10139.069,9948.446,10005.492,10044.568,10056.748,9919.905,9957.966,10013.433,9848.004,10172.546,9952.118,10106.439,10184.304,9971.507,10032.224,9837.202,10079.987,10106.736,10043.529,10386.75,10353.483
group_resource_daily_uptime_28,0,6w_10666kb,2.452,0.708,0.862,1.27,0.762,1.128,1.049,1.098,0.981,0.707,1.137,0.884,1.101,0.924,1.041,0.929,0.946,1.049,0.962,0.996,0.975,1.023,0.973,0.893,0.962,0.784,0.893,0.864,0.927,1.15
group_resource_daily_uptime_28,1,6w_10666kb,9322.254,8986.808,9392.289,9166.134,9321.39,9178.106,9074.73,9354.326,9175.076,9113.09,9261.694,9398.199,9413.739,9571.479,9216.877,9131.423,9174.859,9563.029,9805.821,9400.235,9244.227,9530.94,9461.025,9261.474,9532.299,9536.0,9172.692,9449.669,9241.831,9511.589
group_resource_daily_uptime_29,0,9w_7111kb,1.796,0.892,1.197,0.895,0.825,1.272,0.772,0.879,0.986,1.245,0.901,0.893,1.637,1.016,1.01,0.842,1.356,0.965,0.926,0.894,0.888,1.581,0.992,1.277,0.892,1.005,0.983,0.879,0.929,0.962
group_resource_daily_uptime_29,1,9w_7111kb,12459.146,12289.96,12224.79,12115.143,12160.356,12253.907,12393.718,12423.888,11953.042,12157.981,12218.033,12195.85,12075.637,12001.811,11932.416,12101.109,12009.913,11913.41,12382.965,12019.42,12127.041,12268.058,12026.902,12036.187,12006.756,12267.061,12245.658,12090.91,11931.108,12294.437
group_resource_daily_uptime_30,0,13w_4923kb,1.132,1.126,1.116,1.481,0.927,0.861,0.885,0.976,0.885,0.88,1.048,1.185,0.903,0.841,1.271,0.892,0.89,0.953,1.537,1.026,0.919,0.916,0.989,0.931,1.0,1.104,0.939,1.005,0.906,1.239
group_resource_daily_uptime_30,1,13w_4923kb,10021.22,10015.739,9971.373,10063.938,9978.83,10071.166,10157.725,10196.353,10030.043,10160.897,10216.227,9946.075,10010.286,10416.636,10098.697,10216.405,9998.402,10179.906,10264.337,10094.894,9980.354,9895.414,10079.592,9933.304,10366.506,9942.698,9979.243,9950.41,10190.105,10036.861
group_resource_daily_uptime_31,0,15w_4266kb,0.931,0.886,0.995,0.911,1.029,0.898,0.902,0.864,0.987,0.889,1.066,1.35,0.939,0.899,1.157,0.873,1.199,1.066,0.841,1.013,0.883,0.965,0.893,0.977,0.872,0.958,1.344,1.154,1.035,0.862
group_resource_daily_uptime_31,1,15w_4266kb,10093.481,9950.063,10064.444,9863.852,9913.462,9860.435,10053.76,9808.233,10132.016,10092.312,10053.951,9930.553,10117.046,10055.522,10011.708,9864.395,9904.709,9977.641,10045.032,10147.896,10050.619,10210.08,10047.339,10033.413,9983.769,10202.328,10308.268,10231.428,10195.067,10030.864
